# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit TE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  2.90000000e+02  1.13625871e+02  1.40776628e+01  1.40776628e+01
  2.91000000e+02  1.14306655e+02  1.41235598e+01  1.41235598e+01
  2.92000000e+02  1.14953224e+02  1.41675999e+01  1.41675999e+01
  2.93000000e+02  1.15565587e+02  1.42097591e+01  1.42097591e+01
  2.94000000e+02  1.16142271e+02  1.42500125e+01  1.42500125e+01
  2.95000000e+02  1.16684028e+02  1.42883536e+01  1.42883536e+01
  2.96000000e+02  1.17190128e+02  1.43247587e+01  1.43247587e+01
  2.97000000e+02  1.17659094e+02  1.43592154e+01  1.43592154e+01
  2.98000000e+02  1.18091681e+02  1.43917076e+01  1.43917076e+01
  2.99000000e+02  1.18487900e+02  1.44222247e+01  1.44222247e+01
  3.00000000e+02  1.18847017e+02  1.44507614e+01  1.44507614e+01
  3.01000000e+02  1.19169046e+02  1.44773069e+01  1.44773069e+01
  3.02000000e+02  1.19453998e+02  1.45018494e+01  1.45018494e+01
  3.03000000e+02  1.19701890e+02  1.45243791e+01  1.45243791e+01
  3.04000000e+02  1.19912734e+02  1.45449067e+01  1.45449067e+01
  3.05000000e+02  1.20085802e+02  1.45634117e+01  1.45634117e+01
  3.06000000e+02  1.20221108e+02  1.45798927e+01  1.45798927e+01
  3.07000000e+02  1.20318667e+02  1.45943594e+01  1.45943594e+01
  3.08000000e+02  1.20378492e+02  1.46068012e+01  1.46068012e+01
  3.09000000e+02  1.20400597e+02  1.46172316e+01  1.46172316e+01
  3.10000000e+02  1.20384996e+02  1.46256439e+01  1.46256439e+01
  3.11000000e+02  1.20330216e+02  1.46320476e+01  1.46320476e+01
  3.12000000e+02  1.20237759e+02  1.46364591e+01  1.46364591e+01
  3.13000000e+02  1.20106893e+02  1.46388756e+01  1.46388756e+01
  3.14000000e+02  1.19937632e+02  1.46393074e+01  1.46393074e+01
  3.15000000e+02  1.19729991e+02  1.46377817e+01  1.46377817e+01
  3.16000000e+02  1.19483981e+02  1.46342916e+01  1.46342916e+01
  3.17000000e+02  1.19200359e+02  1.46288692e+01  1.46288692e+01
  3.18000000e+02  1.18878396e+02  1.46215233e+01  1.46215233e+01
  3.19000000e+02  1.18518103e+02  1.46122729e+01  1.46122729e+01
  3.20000000e+02  1.18120236e+02  1.46011343e+01  1.46011343e+01
  3.21000000e+02  1.17684808e+02  1.45881424e+01  1.45881424e+01
  3.22000000e+02  1.17211089e+02  1.45733015e+01  1.45733015e+01
  3.23000000e+02  1.16699833e+02  1.45566543e+01  1.45566543e+01
  3.24000000e+02  1.16151795e+02  1.45382167e+01  1.45382167e+01
  3.25000000e+02  1.15566243e+02  1.45180152e+01  1.45180152e+01
  3.26000000e+02  1.14943934e+02  1.44960789e+01  1.44960789e+01
  3.27000000e+02  1.14284134e+02  1.44724496e+01  1.44724496e+01
  3.28000000e+02  1.13587599e+02  1.44471418e+01  1.44471418e+01
  3.29000000e+02  1.12855824e+02  1.44201960e+01  1.44201960e+01
  3.30000000e+02  1.12087335e+02  1.43916426e+01  1.43916426e+01
  3.31000000e+02  1.11282886e+02  1.43615281e+01  1.43615281e+01
  3.32000000e+02  1.10442486e+02  1.43298733e+01  1.43298733e+01
  3.33000000e+02  1.09567631e+02  1.42967244e+01  1.42967244e+01
  3.34000000e+02  1.08657589e+02  1.42621251e+01  1.42621251e+01
  3.35000000e+02  1.07713112e+02  1.42261046e+01  1.42261046e+01
  3.36000000e+02  1.06734208e+02  1.41887131e+01  1.41887131e+01
  3.37000000e+02  1.05722374e+02  1.41499925e+01  1.41499925e+01
  3.38000000e+02  1.04676875e+02  1.41099837e+01  1.41099837e+01
  3.39000000e+02  1.03599205e+02  1.40687327e+01  1.40687327e+01
  3.40000000e+02  1.02489372e+02  1.40262937e+01  1.40262937e+01
  3.41000000e+02  1.01347385e+02  1.39826990e+01  1.39826990e+01
  3.42000000e+02  1.00173252e+02  1.39380039e+01  1.39380039e+01
  3.43000000e+02  9.89684643e+01  1.38922630e+01  1.38922630e+01
  3.44000000e+02  9.77322878e+01  1.38455143e+01  1.38455143e+01
  3.45000000e+02  9.64654717e+01  1.37978132e+01  1.37978132e+01
  3.46000000e+02  9.51680227e+01  1.37492099e+01  1.37492099e+01
  3.47000000e+02  9.38406899e+01  1.36997642e+01  1.36997642e+01
  3.48000000e+02  9.24834793e+01  1.36495182e+01  1.36495182e+01
  3.49000000e+02  9.10986251e+01  1.35985291e+01  1.35985291e+01
  3.50000000e+02  8.96853898e+01  1.35468603e+01  1.35468603e+01
  3.51000000e+02  8.82452645e+01  1.34945538e+01  1.34945538e+01
  3.52000000e+02  8.67789990e+01  1.34416735e+01  1.34416735e+01
  3.53000000e+02  8.52866004e+01  1.33882810e+01  1.33882810e+01
  3.54000000e+02  8.37703037e+01  1.33344213e+01  1.33344213e+01
  3.55000000e+02  8.22293726e+01  1.32801564e+01  1.32801564e+01
  3.56000000e+02  8.06645560e+01  1.32255436e+01  1.32255436e+01
  3.57000000e+02  7.90766023e+01  1.31706450e+01  1.31706450e+01
  3.58000000e+02  7.74662599e+01  1.31155062e+01  1.31155062e+01
  3.59000000e+02  7.58335338e+01  1.30601953e+01  1.30601953e+01
  3.60000000e+02  7.41799144e+01  1.30047655e+01  1.30047655e+01
  3.61000000e+02  7.25043661e+01  1.29492654e+01  1.29492654e+01
  3.62000000e+02  7.08087502e+01  1.28937650e+01  1.28937650e+01
  3.63000000e+02  6.90936645e+01  1.28383089e+01  1.28383089e+01
  3.64000000e+02  6.73597811e+01  1.27829666e+01  1.27829666e+01
  3.65000000e+02  6.56079202e+01  1.27277815e+01  1.27277815e+01
