# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit EE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  3.25000000e+02  1.37716793e+01  1.50157790e+00  1.50157790e+00
  3.26000000e+02  1.39567686e+01  1.51611532e+00  1.51611532e+00
  3.27000000e+02  1.41412170e+01  1.53059006e+00  1.53059006e+00
  3.28000000e+02  1.43249505e+01  1.54499709e+00  1.54499709e+00
  3.29000000e+02  1.45079696e+01  1.55933157e+00  1.55933157e+00
  3.30000000e+02  1.46901261e+01  1.57358853e+00  1.57358853e+00
  3.31000000e+02  1.48714204e+01  1.58776327e+00  1.58776327e+00
  3.32000000e+02  1.50517788e+01  1.60185088e+00  1.60185088e+00
  3.33000000e+02  1.52310531e+01  1.61584663e+00  1.61584663e+00
  3.34000000e+02  1.54092439e+01  1.62974578e+00  1.62974578e+00
  3.35000000e+02  1.55862032e+01  1.64354349e+00  1.64354349e+00
  3.36000000e+02  1.57619316e+01  1.65723514e+00  1.65723514e+00
  3.37000000e+02  1.59363555e+01  1.67081606e+00  1.67081606e+00
  3.38000000e+02  1.61094010e+01  1.68428167e+00  1.68428167e+00
  3.39000000e+02  1.62809948e+01  1.69762739e+00  1.69762739e+00
  3.40000000e+02  1.64511373e+01  1.71084872e+00  1.71084872e+00
  3.41000000e+02  1.66196066e+01  1.72394108e+00  1.72394108e+00
  3.42000000e+02  1.67864032e+01  1.73690002e+00  1.73690002e+00
  3.43000000e+02  1.69514538e+01  1.74972100e+00  1.74972100e+00
  3.44000000e+02  1.71146106e+01  1.76239975e+00  1.76239975e+00
  3.45000000e+02  1.72758742e+01  1.77493165e+00  1.77493165e+00
  3.46000000e+02  1.74350971e+01  1.78731232e+00  1.78731232e+00
  3.47000000e+02  1.75922801e+01  1.79953737e+00  1.79953737e+00
  3.48000000e+02  1.77472012e+01  1.81160247e+00  1.81160247e+00
  3.49000000e+02  1.79000098e+01  1.82350326e+00  1.82350326e+00
  3.50000000e+02  1.80505583e+01  1.83523545e+00  1.83523545e+00
  3.51000000e+02  1.81988478e+01  1.84679475e+00  1.84679475e+00
  3.52000000e+02  1.83448056e+01  1.85817686e+00  1.85817686e+00
  3.53000000e+02  1.84883591e+01  1.86937771e+00  1.86937771e+00
  3.54000000e+02  1.86295100e+01  1.88039386e+00  1.88039386e+00
  3.55000000e+02  1.87681115e+01  1.89122198e+00  1.89122198e+00
  3.56000000e+02  1.89041655e+01  1.90185887e+00  1.90185887e+00
  3.57000000e+02  1.90375993e+01  1.91230125e+00  1.91230125e+00
  3.58000000e+02  1.91683406e+01  1.92254593e+00  1.92254593e+00
  3.59000000e+02  1.92962425e+01  1.93258973e+00  1.93258973e+00
  3.60000000e+02  1.94213069e+01  1.94242964e+00  1.94242964e+00
  3.61000000e+02  1.95434614e+01  1.95206229e+00  1.95206229e+00
  3.62000000e+02  1.96626335e+01  1.96148460e+00  1.96148460e+00
  3.63000000e+02  1.97787508e+01  1.97069346e+00  1.97069346e+00
  3.64000000e+02  1.98918152e+01  1.97968588e+00  1.97968588e+00
  3.65000000e+02  2.00017542e+01  1.98845873e+00  1.98845873e+00
  3.66000000e+02  2.01084955e+01  1.99700905e+00  1.99700905e+00
  3.67000000e+02  2.02120410e+01  2.00533380e+00  2.00533380e+00
  3.68000000e+02  2.03122441e+01  2.01343003e+00  2.01343003e+00
  3.69000000e+02  2.04092551e+01  2.02129477e+00  2.02129477e+00
  3.70000000e+02  2.05027789e+01  2.02892538e+00  2.02892538e+00
