# ell,Dl_TT,Dl_EE,Dl_TE
1.590000000000000000e+02,4.628021271999346936e+03,1.038814668051587509e+00,-4.520882790478275126e+01
1.600000000000000000e+02,4.658236232474190729e+03,1.030226552904653481e+00,-4.500324744672313670e+01
1.610000000000000000e+02,4.688163934387815061e+03,1.021329309774937411e+00,-4.477119163369192734e+01
1.620000000000000000e+02,4.717796535953941202e+03,1.012138304287763191e+00,-4.451259293200315170e+01
1.630000000000000000e+02,4.747126198672914143e+03,1.002683749590620010e+00,-4.422708682017157145e+01
1.640000000000000000e+02,4.776130236115196567e+03,9.929661523845126903e-01,-4.391468009214044343e+01
1.650000000000000000e+02,4.804808242064677870e+03,9.830082920801319624e-01,-4.357508254798452185e+01
1.660000000000000000e+02,4.833144962396601841e+03,9.728329437027186666e-01,-4.320822678459140320e+01
1.670000000000000000e+02,4.861132571939981062e+03,9.624628776716828149e-01,-4.281397116757440813e+01
1.680000000000000000e+02,4.888763248824517177e+03,9.519208595796571082e-01,-4.239239685316973549e+01
1.690000000000000000e+02,4.916029174437202528e+03,9.412296499719479126e-01,-4.194336224762012932e+01
1.700000000000000000e+02,4.942922533363844195e+03,9.304045785008004943e-01,-4.146680002904697915e+01
1.710000000000000000e+02,4.969428087690948814e+03,9.194758205808302165e-01,-4.096264288806237630e+01
1.720000000000000000e+02,4.995552879418462908e+03,9.084661202945576441e-01,-4.043089778087225739e+01
1.730000000000000000e+02,5.021274250984019091e+03,8.973982157998725562e-01,-3.987149741362124900e+01
1.740000000000000000e+02,5.046584398899468397e+03,8.862948391130850423e-01,-3.928444875172980488e+01
1.750000000000000000e+02,5.071482948000509168e+03,8.751935671445220111e-01,-3.866990727297336861e+01
1.760000000000000000e+02,5.095954810994891886e+03,8.641097350516193654e-01,-3.802780792494311868e+01
1.770000000000000000e+02,5.119992874869706611e+03,8.530811148531273203e-01,-3.735816887252743612e+01
1.780000000000000000e+02,5.143582739808062797e+03,8.421306620218427241e-01,-3.666108476904501146e+01
1.790000000000000000e+02,5.166724859342181844e+03,8.312813248382240339e-01,-3.593657599864651075e+01
1.800000000000000000e+02,5.189412263309692207e+03,8.205708954385142473e-01,-3.518481144184358556e+01
1.810000000000000000e+02,5.211630557679956837e+03,8.100297327419120341e-01,-3.440595995977390231e+01
1.820000000000000000e+02,5.233380201251778999e+03,7.996881878811807898e-01,-3.360011613470037162e+01
1.830000000000000000e+02,5.254654228598869850e+03,7.895691783874124736e-01,-3.276744877924282662e+01
1.840000000000000000e+02,5.275438249889456529e+03,7.797104648793630188e-01,-3.190820093309005401e+01
1.850000000000000000e+02,5.295732727581425934e+03,7.701497996329587092e-01,-3.102231857844033058e+01
1.860000000000000000e+02,5.315523273744390281e+03,7.609100751549204844e-01,-3.011019319916838555e+01
1.870000000000000000e+02,5.334810352385019542e+03,7.520223434506058124e-01,-2.917191921496705831e+01
1.880000000000000000e+02,5.353587002401975951e+03,7.435273009837177760e-01,-2.820781377171164195e+01
1.890000000000000000e+02,5.371838837421720200e+03,7.354567244557077554e-01,-2.721804545679538379e+01
1.900000000000000000e+02,5.389566322516408036e+03,7.278453516529530543e-01,-2.620293132068462683e+01
1.910000000000000000e+02,5.406762497180025093e+03,7.207256833635191651e-01,-2.516278836094226179e+01
1.920000000000000000e+02,5.423412975188834025e+03,7.141331811759276116e-01,-2.409771074996855589e+01
1.930000000000000000e+02,5.439510795722107105e+03,7.081018119723303528e-01,-2.300801536895862398e+01
1.940000000000000000e+02,5.455063848869051981e+03,7.026677606161366718e-01,-2.189416754807609777e+01
1.950000000000000000e+02,5.470057747397656385e+03,6.978672021482240639e-01,-2.075640978159304240e+01
