# ell,Dl_TT (LCDM PR4 best-fit)
4.690000000000000000e+02,2.150135575829575373e+03
4.700000000000000000e+02,2.161028273854829422e+03
4.710000000000000000e+02,2.171894611135963714e+03
4.720000000000000000e+02,2.182734745784696770e+03
4.730000000000000000e+02,2.193533978762995957e+03
4.740000000000000000e+02,2.204292467257356748e+03
4.750000000000000000e+02,2.215002939614074421e+03
4.760000000000000000e+02,2.225665552037924954e+03
4.770000000000000000e+02,2.236265603551055847e+03
4.780000000000000000e+02,2.246810677764545744e+03
4.790000000000000000e+02,2.257300929507476667e+03
4.800000000000000000e+02,2.267714228165300028e+03
4.810000000000000000e+02,2.278065584528424552e+03
4.820000000000000000e+02,2.288325438992654199e+03
4.830000000000000000e+02,2.298501373470527142e+03
4.840000000000000000e+02,2.308578684652085030e+03
